CallLtp,ITMProb,CallIV,CallDelta,StrikePrice,Put Delta,PutIV,ITM Prob.,Put Ltp
-,-,-,-,17950,-4.2,21.41,0,18.85
-,-,-,-,18200,-3.07,16.77,0.2,10.25
-,-,-,-,18300,-3.22,15.79,0.5,10.2
-,-,-,-,18350,-5.27,17.41,0.6,19.85
-,-,-,-,18550,-6.66,15.92,1.8,23.85
-,-,-,-,18600,-7.39,15.79,2.2,26.75
-,-,-,-,18700,-6.09,13.36,3.4,18
-,-,-,-,18750,-7.33,13.53,4.2,22.65
-,-,-,-,18800,-10.77,15.05,5.1,40
-,-,-,-,18850,-12.49,15.32,6.2,48.8
-,-,-,-,18900,-9.25,12.44,7.4,27.45
-,-,-,-,19000,-11.29,11.9,10.3,33.4
-,-,-,-,19050,-20.21,16.24,12,94.7
674.75,85.9,13.62,81.91,19100,-,-,-,-
-,-,-,-,19200,-17.2,10.88,18.4,51.35
574.95,70.5,20.19,62.87,19400,-,-,-,-
390.55,64.1,13.74,62.4,19500,-34.06,10.31,35.8,119.85
648.1,60.8,28.24,55.8,19550,-37.63,10.26,39.1,137.35
320,57.4,13.12,57.04,19600,-41.15,9.98,42.6,152
294,53.9,13.17,54.03,19650,-45.06,9.98,46,174.05
259,50.4,12.7,51.02,19700,-49.01,9.58,49.5,190
240.7,46.9,12.99,48,19750,-53.33,9.13,53,207
205,43.4,12.33,44.64,19800,-57.51,9.23,56.5,237.15
182.5,40,12.25,41.45,19850,-63.33,8.09,59.9,245.6
160.55,36.7,12.12,38.22,19900,-68.35,7.84,63.2,274.2
144.85,33.5,12.23,35.32,19950,-81.41,5.33,66.4,271.2
120.1,30.4,11.76,31.71,20000,-75.92,8.09,69.5,351.4
109.35,27.4,11.99,29.19,20050,-87.55,5.82,72.5,362
93,24.6,11.81,26.15,20100,0,0,75.3,275.75
122.4,22,14.34,27.84,20150,-,-,-,-
68.9,19.5,11.71,20.9,20200,0,0,80.4,330.75
50.9,15.2,11.7,16.47,20300,-,-,-,-
28.95,8.5,11.98,10.19,20500,-,-,-,-
118.4,7.3,19.88,21.26,20550,-,-,-,-
22.65,6.2,12.26,8.14,20600,-,-,-,-
25,4.4,13.58,8.13,20700,-,-,-,-
15.1,3,13.03,5.48,20800,-,-,-,-
17.05,2.5,13.83,5.78,20850,-,-,-,-
13.6,2,13.65,4.81,20900,-,-,-,-
11,1.3,13.96,3.93,21000,-,-,-,-
